Threshold,FPR,TPR
0.5406021382911047,0.0585,0.8259751393056151
0.5404671675428527,0.0585,0.8262608944134876
0.5397392788636921,0.0605,0.8262608944134876
0.5390160626028698,0.0605,0.8265466495213601
0.5385622204100886,0.061,0.8265466495213601
0.5382608266388544,0.061,0.8266895270752965
0.5378395303532708,0.0615,0.8266895270752965
0.5361701615610875,0.0615,0.8276896699528504
0.5356155067365532,0.062,0.8276896699528504
0.535562028629151,0.062,0.8278325475067867
0.5353073211593867,0.0625,0.8278325475067867
0.5327026072773497,0.0625,0.8284040577225318
0.5322792410765463,0.063,0.8284040577225318
0.527088654613895,0.063,0.8308329761394485
0.5263401881042218,0.0635,0.8308329761394485
0.5260971949153331,0.0635,0.8309758536933848
0.5254898415076373,0.0645,0.8309758536933848
0.5244590613166302,0.0645,0.8318331190170024
0.5240905277978652,0.065,0.8318331190170024
0.5239016077936307,0.065,0.8319759965709387
0.5235916992958894,0.066,0.8319759965709387
0.523132782639698,0.066,0.8322617516788112
0.5231221382096523,0.0665,0.8322617516788112
0.5217725710768828,0.0665,0.8328332618945564
0.521536430197689,0.067,0.8328332618945564
0.5210260097367152,0.067,0.8332618945563652
0.5208219173411838,0.0675,0.8332618945563652
0.5196732242255352,0.0675,0.8338334047721103
0.5196128499948459,0.068,0.8338334047721103
0.5144861485107296,0.068,0.8356908129732818
0.5144583182276536,0.0685,0.8356908129732818
0.5129471324490615,0.0685,0.8365480782968996
0.5129166535811425,0.069,0.8365480782968996
0.5113561288212327,0.069,0.837262466066581
0.510497384874219,0.0695,0.837262466066581
0.5088143057901444,0.0695,0.8379768538362623
0.5080373451588418,0.0705,0.8379768538362623
0.5062478556162261,0.0705,0.8384054864980711
0.5060935328849772,0.071,0.8384054864980711
0.5057700602103483,0.071,0.8386912416059437
0.5057432975797644,0.0715,0.8386912416059437
0.5038494926241696,0.0715,0.8391198742677526
0.5036289858806511,0.072,0.8391198742677526
0.5027891506795554,0.072,0.8394056293756251
0.5026186860849289,0.0725,0.8394056293756251
0.5014126510020446,0.0725,0.8398342620374339
0.5006830544297899,0.073,0.8398342620374339
0.50042458671181,0.073,0.8399771395913702
0.5002603163864642,0.0735,0.8399771395913702
0.50014271446498,0.0735,0.8401200171453065
0.4993201397432951,0.074,0.8401200171453065
0.499114099629136,0.074,0.8402628946992428
0.4982606904252155,0.0745,0.8402628946992428
0.49815322073445617,0.0745,0.8405486498071153
0.497806934696245,0.075,0.8405486498071153
0.49741271337099885,0.075,0.8411201600228604
0.4973046222279295,0.0755,0.8411201600228604
0.49699274877813093,0.0755,0.8412630375767967
0.49662387332344854,0.0765,0.8412630375767967
0.49416015288160015,0.0765,0.8424060580082869
0.4938204077210167,0.077,0.8424060580082869
0.49170017388237414,0.077,0.842977568224032
0.4915953657550531,0.0775,0.842977568224032
0.4911017021062612,0.0775,0.8432633233319046
0.4907185004575522,0.0785,0.8432633233319046
0.49009073446308615,0.0785,0.8435490784397771
0.48969986887857503,0.079,0.8435490784397771
0.48822561865094316,0.079,0.8441205886555222
0.4879602446865465,0.0795,0.8441205886555222
0.4848507159430758,0.0795,0.8461208744106301
0.4846973811195133,0.08,0.8461208744106301
0.4844318673066215,0.08,0.8462637519645664
0.483758698960833,0.0805,0.8462637519645664
0.483242489188114,0.0805,0.8465495070724389
0.48273935422822134,0.082,0.8465495070724389
0.47890780173865694,0.082,0.8476925275039291
0.47876076566432346,0.0825,0.8476925275039291
0.47471924234194823,0.0825,0.8492641805972282
0.47452996713033646,0.083,0.8492641805972282
0.4740669258123925,0.083,0.8494070581511645
0.4740585177360324,0.0835,0.8494070581511645
0.4737754389450129,0.0835,0.8495499357051007
0.4734975343158135,0.084,0.8495499357051007
0.47036681766758137,0.084,0.8516930990141449
0.4699200138585611,0.085,0.8516930990141449
0.4695687520240729,0.085,0.8518359765680812
0.4695354242141429,0.0855,0.8518359765680812
0.46730716455660143,0.0855,0.8526932418916988
0.4668131262603945,0.086,0.8526932418916988
0.46053489430568156,0.086,0.8552650378625518
0.46048567149195935,0.0865,0.8552650378625518
0.4585033236371107,0.0865,0.856408058294042
0.4583872419013092,0.087,0.856408058294042
0.45692223769610285,0.087,0.8565509358479783
0.4567650920998769,0.0875,0.8565509358479783
0.45561243276320373,0.0875,0.8575510787255323
0.4553436450964226,0.088,0.8575510787255323
0.45324930059633783,0.088,0.8585512216030862
0.4525778401691933,0.0885,0.8585512216030862
0.45223343995848025,0.0885,0.8591227318188313
0.4512330384403404,0.0895,0.8591227318188313
0.44639033502274816,0.0895,0.8606943849121304
0.44633123387404633,0.09,0.8606943849121304
0.4455444934033946,0.09,0.8612658951278754
0.44508755738686495,0.0905,0.8612658951278754
0.4447802499239736,0.0905,0.8616945277896843
0.4446986026579073,0.091,0.8616945277896843
0.443955710367104,0.091,0.8618374053436205
0.44355647630713085,0.0915,0.8618374053436205
0.441873044659594,0.0915,0.8625517931133019
0.4413696400913062,0.092,0.8625517931133019
0.44041565339812294,0.092,0.8626946706672382
0.4397990207439742,0.0925,0.8626946706672382
0.43948884227652923,0.0925,0.8628375482211744
0.43948239304904396,0.093,0.8628375482211744
0.43875186921601167,0.093,0.8632661808829832
0.43829430823019133,0.094,0.8632661808829832
0.4378102663717225,0.094,0.864123446206601
0.4376866725008607,0.0945,0.864123446206601
0.43677059129683066,0.0945,0.8649807115302186
0.43606101007657955,0.095,0.8649807115302186
0.434521399863173,0.095,0.8658379768538362
0.4343205497405989,0.0955,0.8658379768538362
0.4331137154965614,0.0955,0.8661237319617088
0.4328839123896085,0.0965,0.8661237319617088
0.4322959553172108,0.0965,0.866266609515645
0.4320732082610322,0.097,0.866266609515645
0.4310994406501837,0.097,0.8668381197313902
0.43105933869855506,0.0975,0.8668381197313902
0.4304587698501166,0.0975,0.8671238748392628
0.430173812686459,0.098,0.8671238748392628
0.4294456119378764,0.098,0.8674096299471353
0.42932139655567464,0.0985,0.8674096299471353
0.4269535081277368,0.0985,0.8678382626089441
0.4268813054389689,0.099,0.8678382626089441
0.4266704875935781,0.099,0.8679811401628804
0.42652433974614073,0.0995,0.8679811401628804
0.42543009113344255,0.0995,0.8684097728246892
0.4245799968491256,0.1005,0.8684097728246892
0.42379702421789267,0.1005,0.8686955279325618
0.4227063164314306,0.102,0.8686955279325618
0.42140767427435316,0.102,0.8694099157022431
0.42072075240057694,0.1025,0.8694099157022431
0.41805410781792984,0.1025,0.8716959565652236
